,LayoutHit,LayoutMiss,LayoutOverflow,StageHit,,
65,0.590566256,0.203492342,0.007687573,0.198253829,0.40698468 ,-0.20873086 
66,0.583216342,0.223187534,0.005189891,0.188406233,0.44637507 ,-0.25796884 
67,0.587129349,0.21696868,0.004386311,0.19151566,0.43393736 ,-0.24242170 
68,0.589609634,0.204562338,0.008109198,0.19771883,0.40912468 ,-0.21140585 
69,0.595741933,0.196727484,0.005894325,0.201636258,0.39345497 ,-0.19181871 
70,0.595153521,0.199904256,0.004894351,0.200047872,0.39980851 ,-0.19976064 
71,0.592771355,0.206048412,0.004204439,0.196975794,0.41209682 ,-0.21512103 
72,0.595258848,0.20295458,0.003263862,0.19852271,0.40590916 ,-0.20738645 
73,0.594722681,0.203581518,0.00348656,0.198209241,0.40716304 ,-0.20895380 
74,0.59221737,0.209810878,0.002877191,0.195094561,0.41962176 ,-0.22452720 
75,0.593297663,0.203262818,0.005070928,0.198368591,0.40652564 ,-0.20815705 
76,0.596286211,0.197953276,0.004737151,0.201023362,0.39590655 ,-0.19488319 
77,0.59236015,0.197860302,0.008709699,0.201069849,0.39572060 ,-0.19465076 
78,0.59406792,0.19857927,0.006642445,0.200710365,0.39715854 ,-0.19644818 
79,0.593789192,0.19979357,0.006314023,0.200103215,0.39958714 ,-0.19948393 
80,0.597273438,0.193286686,0.006083219,0.203356657,0.38657337 ,-0.18321672 
81,0.60374852,0.169842492,0.011330234,0.215078754,0.33968498 ,-0.12460623 
82,0.596145394,0.174868892,0.01642016,0.212565554,0.34973778 ,-0.13717223 
83,0.604625828,0.17181627,0.009466037,0.214091865,0.34363254 ,-0.12954068 
84,0.606405605,0.169706324,0.008741233,0.215146838,0.33941265 ,-0.12426581 
85,0.598940425,0.182708846,0.009705152,0.208645577,0.36541769 ,-0.15677212 
86,0.600921235,0.164542632,0.016807449,0.217728684,0.32908526 ,-0.11135658 
87,0.600515394,0.162229416,0.018369898,0.218885292,0.32445883 ,-0.10557354 
88,0.600265517,0.168776674,0.015346146,0.215611663,0.33755335 ,-0.12194169 
89,0.596935822,0.168228742,0.018949807,0.215885629,0.33645748 ,-0.12057186 
90,0.597073252,0.12594509,0.039954203,0.237027455,0.25189018 ,-0.01486273 
91,0.60369805,0.128640738,0.031981581,0.235679631,0.25728148 ,-0.02160185 
92,0.611548361,0.122195606,0.027353836,0.238902197,0.24439121 ,-0.00548902 
93,0.61230527,0.111749542,0.03181996,0.244125228,0.22349908 ,0.02062614 
94,0.621909153,0.0952792,0.030451248,0.252360399,0.19055840 ,0.06180200 
95,0.631998475,0.07474206,0.030630495,0.26262897,0.14948412 ,0.11314485 
96,0.628865001,0.066071844,0.038099076,0.266964079,0.13214369 ,0.13482039 
97,0.63777595,0.068122076,0.028163012,0.265938962,0.13624415 ,0.12969481 
98,0.642472844,0.068451414,0.023301448,0.265774294,0.13690283 ,0.12887147 
99,0.630921414,0.061303872,0.038426649,0.269348065,0.12260774 ,0.14674032 
100,0.6221725,0.067380328,0.044137336,0.266309836,0.13476066 ,0.13154918 
101,0.614379223,0.073560216,0.04884067,0.263219891,0.14712043 ,0.11609946 
102,0.620613443,0.072163878,0.043304618,0.263918061,0.14432776 ,0.11959031 
103,0.635009384,0.06849586,0.030742686,0.26575207,0.13699172 ,0.12876035 
104,0.623100003,0.069517508,0.042141243,0.265241246,0.13903502 ,0.12620623 
105,0.614416003,0.064521716,0.053323139,0.267739142,0.12904343 ,0.13869571 
106,0.625693404,0.06429885,0.042157171,0.267850575,0.12859770 ,0.13925288 
107,0.608863124,0.065457132,0.05840831,0.267271434,0.13091426 ,0.13635717 
108,0.605641283,0.065430954,0.06164324,0.267284523,0.13086191 ,0.13642262 
109,0.631805712,0.065276928,0.035555824,0.267361536,0.13055386 ,0.13680768 
110,0.624613648,0.063037416,0.043867643,0.268481293,0.12607483 ,0.14240646 
111,0.633413496,0.062468748,0.03535213,0.268765626,0.12493750 ,0.14382813 
112,0.637271959,0.072086818,0.026684632,0.263956591,0.14417364 ,0.11978296 
113,0.635851732,0.070946922,0.028674807,0.264526539,0.14189384 ,0.12263270 
114,0.641759366,0.069393256,0.023544006,0.265303372,0.13878651 ,0.12651686 
115,0.631364984,0.075904818,0.030682607,0.262047591,0.15180964 ,0.11023796 
116,0.632043969,0.076733602,0.02958923,0.261633199,0.15346720 ,0.10816600 
117,0.634948492,0.08410503,0.022998993,0.257947485,0.16821006 ,0.08973743 
118,0.632631893,0.090963936,0.021886139,0.254518032,0.18192787 ,0.07259016 
119,0.637063262,0.092873922,0.016499777,0.253563039,0.18574784 ,0.06781520 
120,0.638175351,0.096388956,0.013630171,0.251805522,0.19277791 ,0.05902761 
121,0.637380058,0.100140614,0.012549635,0.249929693,0.20028123 ,0.04964847 
122,0.63875596,0.097973686,0.012257197,0.251013157,0.19594737 ,0.05506579 
123,0.638859048,0.103127942,0.00957698,0.24843603,0.20625588 ,0.04218015 
124,0.643325837,0.088081616,0.012633355,0.255959192,0.17616323 ,0.07979596 
125,0.644298884,0.091268328,0.010066952,0.254365836,0.18253666 ,0.07182918 
126,0.641638521,0.094938472,0.010892243,0.252530764,0.18987694 ,0.06265382 
127,0.633084954,0.102206688,0.015811703,0.248896655,0.20441338 ,0.04448328 
128,0.634707591,0.104079226,0.013252796,0.247960387,0.20815845 ,0.03980194 
129,0.629056314,0.112582844,0.014652264,0.243708578,0.22516569 ,0.01854289 
130,0.630898728,0.11229258,0.012954982,0.24385371,0.22458516 ,0.01926855 
131,0.627959021,0.122325422,0.010878268,0.238837289,0.24465084 ,-0.00581356 
132,0.629308808,0.120807412,0.010287486,0.239596294,0.24161482 ,-0.00201853 
133,0.628548726,0.117465284,0.012718632,0.241267358,0.23493057 ,0.00633679 
134,0.633232912,0.1163748,0.008579688,0.2418126,0.23274960 ,0.00906300 
135,0.630734905,0.117947198,0.010291496,0.241026401,0.23589440 ,0.00513201 
136,0.628106631,0.123514858,0.01013594,0.238242571,0.24702972 ,-0.00878715 
137,0.616892801,0.136419474,0.014897463,0.231790262,0.27283895 ,-0.04104869 
138,0.601271936,0.145936428,0.025759851,0.227031785,0.29187286 ,-0.06484107 
139,0.591913778,0.16025829,0.027957077,0.219870855,0.32051658 ,-0.10064573 
140,0.594413669,0.168805678,0.021183492,0.215597161,0.33761136 ,-0.12201420 
141,0.592426618,0.171352406,0.021897179,0.214323797,0.34270481 ,-0.12838102 
142,0.588465192,0.173873888,0.024597864,0.213063056,0.34774778 ,-0.13468472 
143,0.584733626,0.190770618,0.019881066,0.20461469,0.38154124 ,-0.17692655 
144,0.589053978,0.182318818,0.019786613,0.208840591,0.36463764 ,-0.15579705 
145,0.589277441,0.18763287,0.016906124,0.206183565,0.37526574 ,-0.16908218 
146,0.583218731,0.18143501,0.026063764,0.209282495,0.36287002 ,-0.15358753 
147,0.58263077,0.183953,0.025392731,0.208023499,0.36790600 ,-0.15988250 
148,0.579697509,0.17804216,0.031281411,0.21097892,0.35608432 ,-0.14510540 
149,0.569951379,0.187869052,0.036114096,0.206065473,0.37573810 ,-0.16967263 
150,0.582762517,0.177898368,0.028288299,0.211050816,0.35579674 ,-0.14474592 
1001,0.787577963,0.060762502,0.001659535,0.089237498,,
1002,0.789759801,0.058039095,0.002201105,0.091960904,,
1003,0.787206747,0.060292383,0.00250087,0.089707617,,
1004,0.789104774,0.0582867,0.002608527,0.091713299,,
1005,0.790344979,0.057256577,0.002398444,0.092743423,,
1006,0.787136056,0.060161352,0.002702592,0.089838648,,
1007,0.785004079,0.062422404,0.002573517,0.087577596,,
1008,0.780422041,0.067007242,0.002570717,0.082992758,,
1009,0.779595795,0.068176422,0.002227783,0.081823578,,
1010,0.776005207,0.072209123,0.001785669,0.077790878,,
1011,0.778467164,0.06992623,0.001606607,0.080073769,,
1012,0.779162489,0.069255514,0.001581996,0.080744487,,
1013,0.77779286,0.069958849,0.002248291,0.080041151,,
1014,0.783811554,0.063734328,0.002454119,0.086265671,,
1015,0.789465932,0.058090848,0.00244322,0.091909152,,
1016,0.789791671,0.057457282,0.002751047,0.092542718,,
1017,0.789779105,0.057389715,0.00283118,0.092610285,,
1018,0.792603741,0.054781048,0.002615212,0.095218951,,
1019,0.788354741,0.059412165,0.002233094,0.090587835,,
1020,0.789497955,0.058540527,0.001961518,0.091459473,,
1021,0.792946833,0.055016468,0.002036699,0.094983532,,
1022,0.79070274,0.057017297,0.002279963,0.092982703,,
1023,0.792021091,0.05608933,0.001889579,0.09391067,,
1024,0.788094914,0.059447524,0.002457562,0.090552476,,
1025,0.786313459,0.060935627,0.002750913,0.089064374,,
1026,0.78661413,0.060278069,0.0031078,0.089721932,,
1027,0.789588027,0.057781589,0.002630384,0.092218411,,
1028,0.78834803,0.059115731,0.002536239,0.090884269,,
1029,0.789000254,0.058459815,0.002539931,0.091540185,,
1030,0.786725791,0.061231182,0.002043027,0.088768818,,
1031,0.785480904,0.062413393,0.002105703,0.087586607,,
1032,0.786639836,0.061557679,0.001802484,0.088442322,,
1033,0.785611006,0.062208064,0.00218093,0.087791936,,
1034,0.784094548,0.063299485,0.002605968,0.086700514,,
1035,0.782641171,0.064256494,0.003102335,0.085743506,,
1036,0.786752476,0.060069809,0.003177716,0.08993019,,
1037,0.790926,0.056288483,0.002785517,0.093711517,,
1038,0.792847193,0.053722259,0.003430548,0.096277741,,
1039,0.795573039,0.051269834,0.003157127,0.098730166,,
1040,0.795725397,0.052207146,0.002067457,0.097792854,,
1041,0.794237429,0.053308337,0.002454234,0.096691663,,
1042,0.796632389,0.050441269,0.002926342,0.099558731,,
1043,0.797575325,0.04949937,0.002925305,0.10050063,,
1044,0.795251895,0.052209564,0.002538541,0.097790436,,
1045,0.79496708,0.051232394,0.003800526,0.098767606,,
1046,0.794654788,0.050902037,0.004443174,0.099097964,,
1047,0.792112202,0.053395196,0.004492602,0.096604804,,
1048,0.790584236,0.055452167,0.003963597,0.094547833,,
1049,0.791346217,0.054609109,0.004044674,0.095390891,,
1050,0.794447923,0.051911835,0.003640242,0.098088165,,
1051,0.79476503,0.05247429,0.00276068,0.09752571,,
1052,0.791274239,0.05628001,0.002445751,0.09371999,,
1053,0.784201906,0.062922577,0.002875517,0.087077423,,
1054,0.787061653,0.060055145,0.002883203,0.089944854,,
1055,0.787836414,0.05949707,0.002666516,0.09050293,,
1056,0.782947867,0.064211201,0.002840932,0.085788799,,
1057,0.781225208,0.064935937,0.003838855,0.085064063,,
1058,0.778510559,0.066655284,0.004834157,0.083344716,,
1059,0.775402798,0.067911271,0.006685931,0.082088729,,
1060,0.781444999,0.062136398,0.006418603,0.087863602,,
1061,0.787499932,0.058269083,0.004230985,0.091730917,,
1062,0.791896262,0.054161935,0.003941803,0.095838065,,
1063,0.78919004,0.057131982,0.003677978,0.092868018,,
