,LayoutHit,LayoutMiss,LayoutOverflow
0,0.559872045,0.028798454,0.411329502
1,0.612314849,0.038016349,0.349668802
2,0.610526643,0.056608289,0.332865068
3,0.635484095,0.140049282,0.224466622
4,0.767741763,0.052437657,0.17982058
5,0.736451154,0.064786065,0.19876278
6,0.815115558,0.068449295,0.116435147
7,0.814302074,0.146418688,0.039279239
8,0.600922454,0.29748316,0.101594386
9,0.712966073,0.226054432,0.060979496
10,0.684748949,0.258107228,0.057143823
11,0.662119926,0.265032541,0.072847533
12,0.570928054,0.364223992,0.064847954
13,0.544625822,0.396956841,0.058417338
14,0.541137921,0.399672947,0.059189132
15,0.642176057,0.333140537,0.024683406
16,0.671835477,0.314077341,0.014087182
17,0.724344748,0.275653403,1.85E-06
18,0.680082349,0.319909904,7.75E-06
19,0.600071576,0.399928424,0
20,0.586955722,0.41302712,1.72E-05
21,0.614434392,0.385559292,6.32E-06
22,0.634377785,0.365615817,6.40E-06
23,0.649050076,0.350938169,1.18E-05
24,0.705328745,0.294671255,0
25,0.757714159,0.242282667,3.17E-06
26,0.731843197,0.268155189,1.61E-06
27,0.761778585,0.238221415,0
28,0.757227864,0.242772136,0
29,0.730007659,0.269988212,4.13E-06
30,0.646601894,0.353388292,9.81E-06
31,0.587586007,0.412411409,2.58E-06
32,0.519209342,0.480785662,5.00E-06
33,0.500255436,0.499726226,1.83E-05
34,0.549074909,0.450919799,5.29E-06
35,0.595842324,0.404127915,2.98E-05
36,0.561821523,0.438167025,1.15E-05
37,0.571793166,0.428193201,1.36E-05
38,0.640177724,0.359797377,2.49E-05
39,0.77865638,0.22134362,0
40,0.845714939,0.154285061,0
41,0.847568964,0.152431036,0
42,0.776780504,0.223219496,0
43,0.754593407,0.245406593,0
44,0.807565212,0.192434788,0
45,0.799411045,0.200588955,0
46,0.767188743,0.232807927,3.33E-06
47,0.818860007,0.181139993,0
48,0.869163323,0.130836677,0
49,0.784038909,0.215961091,0
50,0.729312354,0.269155182,0.001532465
51,0.779784052,0.217420008,0.002795939
52,0.746492405,0.248400453,0.005107142
53,0.748310285,0.245975658,0.005714057
54,0.717278415,0.27907505,0.003646535
55,0.751260612,0.245375621,0.003363767
56,0.741586095,0.255093708,0.003320196
57,0.686391014,0.312344674,0.001264312
58,0.766497761,0.23049054,0.003011698
59,0.712043182,0.226743009,0.061213809
60,0.703937082,0.225812931,0.070249987
61,0.68779228,0.23786095,0.074346771
62,0.678805382,0.231856474,0.089338144
63,0.763200915,0.217016696,0.019782389
64,0.730040809,0.266233305,0.003725886
65,0.657272134,0.290150468,0.052577398
66,0.713326501,0.223170615,0.063502884
67,0.742581721,0.18948302,0.067935259
68,0.744835552,0.185884469,0.069279979
69,0.715398333,0.15623106,0.128370607
70,0.699506904,0.161109823,0.139383273
71,0.728511511,0.189505518,0.081982971
72,0.708198951,0.215734463,0.076066586
73,0.679224515,0.246043993,0.074731493
74,0.680995562,0.25858746,0.060416978
75,0.662953872,0.216564603,0.120481525
76,0.657792038,0.215831873,0.126376088
77,0.648202411,0.224785404,0.127012186
78,0.640060643,0.228970391,0.130968966
79,0.623835664,0.256485741,0.119678594
80,0.658438852,0.269991708,0.07156944
81,0.648324245,0.333841662,0.017834093
82,0.678810776,0.314170019,0.007019205
83,0.661172186,0.268692173,0.070135641
84,0.658838724,0.198367756,0.14279352
85,0.638775161,0.206407522,0.154817317
86,0.680093671,0.175485382,0.144420947
87,0.680608206,0.185950057,0.133441737
88,0.641968214,0.202364438,0.155667348
89,0.652618441,0.1914672,0.155914359
90,0.689295337,0.230600715,0.080103948
91,0.732144006,0.197734788,0.070121206
92,0.750145266,0.239323812,0.010530922
93,0.721209259,0.21977645,0.059014291
94,0.699029621,0.241668568,0.059301811
95,0.672210426,0.233879132,0.093910442
96,0.635814719,0.222220708,0.141964573
97,0.643824077,0.21608557,0.140090353
98,0.647916532,0.223080607,0.129002861
99,0.635623029,0.241196603,0.123180368
100,0.625341737,0.247804971,0.126853292
101,0.578298826,0.281324639,0.140376534
102,0.702979238,0.206834187,0.090186575
103,0.764985283,0.19241758,0.042597137
104,0.822562916,0.154851946,0.022585138
105,0.789988839,0.180238313,0.029772847
106,0.752150444,0.174600778,0.073248778
107,0.727593751,0.182984042,0.089422207
108,0.691250031,0.213396627,0.095353342
109,0.642833111,0.250157851,0.107009038
110,0.627095749,0.265055619,0.107848633
111,0.621689532,0.27884791,0.099462558
112,0.677828827,0.230437263,0.09173391
113,0.665882205,0.243092587,0.091025208
114,0.722305458,0.199912882,0.077781659
115,0.754093978,0.197658578,0.048247444
116,0.760539756,0.22693358,0.012526665
117,0.770937333,0.218118112,0.010944555
118,0.771555574,0.182532873,0.045911552
119,0.762137823,0.16593515,0.071927028
120,0.784638625,0.149738601,0.065622775
121,0.8049034,0.136258348,0.058838252
122,0.840423704,0.113161278,0.046415018
123,0.843677796,0.114211925,0.042110279
