Workload,Read Hit,Write Hit (no overflow),Read Miss,Write Miss,Write Overflow
500.perlbench_r,0.8143343,0.148573,0.02718,0.008019,0.001894
502.gcc_r,0.7018568,0.190094,0.022198,0.034749,0.051102
505.mcf_r,0.394355,0.335072,0.134553,0.132088,0.003932
519.lbm_r,0.4307452,0.510382,0.025808,0.033065,6.46E-07
521.wrf_r,0.6232805,0.284134,0.049569,0.034127,0.00889
523.xalancbmk_r,0.9561473,0.005049,0.036992,0.000307,0.001504
544.nab_r,0.8160252,0.183975,0,0,0
549.fotonik3d_r,0.4842007,0.327037,0.061963,0.052378,0.074421
557.xz_r,0.4366312,0.230719,0.10162,0.074375,0.156655
