Workload,Read Hit,Write Hit (no overflow),Read Miss,Write Miss,Write Overflow
500.perlbench_r,0.778635,0.1713949,0.03435278,0.014896569,0.000720918
502.gcc_r,0.600951,0.2682679,0.044940878,0.071696832,0.014143052
505.mcf_r,0.531876,0.1338524,0.254807981,0.076851357,0.002612535
519.lbm_r,0.447917,0.539625,0.005364756,0.007092265,4.50403E-07
521.wrf_r,0.599477,0.259971,0.07336408,0.062857411,0.004330809
523.xalancbmk_r,0.920494,0.0052451,0.07367849,0.000459832,0.000122636
544.nab_r,0.75748,0.1182857,0.101699706,0.017823904,0.004710504
549.fotonik3d_r,0.529265,0.354384,0.058056336,0.049643862,0.01065122
557.xz_r,0.373612,0.2559109,0.238053117,0.128294722,0.004129635
