Benchmark,SILC-FM,Baryon (Low Assoc),Hybrid2,Baryon (High Assoc)
bfs road,0.53,0.72,0.81,0.84
bc road,0.39,0.60,0.75,0.79
cc road,0.42,0.77,0.84,0.86
pr road,0.42,0.73,0.80,0.81
bfs twitter,0.29,0.60,0.71,0.79
bc twitter,0.18,0.68,0.77,0.78
cc twitter,0.26,0.58,0.66,0.77
pr twitter,0.39,0.77,0.80,0.86
bfs web,0.09,0.72,0.75,0.76
bc web,0.16,0.71,0.74,0.81
cc web,0.17,0.56,0.61,0.62
pr web,0.13,0.73,0.78,0.79
Geomean,0.25,0.68,0.75,0.79
